Timestamp,How old are you? (Numbers only 17-25),Age_Range,What is your gender?,Please specify your ethnicity.,Which online dating platforms have you used?,Which online dating platforms are you currently active on?,"How many times have you met up with someone from an online dating platform? (Please provide a number or write ""not applicable"")","If you have met up with someone, did you stay connected and/or met up with them again?",Do you have a premium subscription of an online dating account?,"These apps usually require you to add at most five descriptors about you (ex: foodie, dogs, movies, dance, tennis). If you have a dating app, please list yours separated by commas. Else, write ""not applicable"".","What are some qualities/descriptor words that make someone else's profile stand out to you? (""not applicable"" otherwise)",What interest categories are the most important to you?,What vices of these would be turn-offs for you?,What vices of these would be turn-ons for you?,Are any of these traits important to you while looking at someone's profile?,"How many matches do you get per day? (Number or range of numbers only) (""not applicable"" otherwise)",How long do you spend on the app per day? (approx.),Reason,"Please rank all of the reasons that you have/use a dating app(s), 1 being the most important reason and 4 being the least important [2nd]","Please rank all of the reasons that you have/use a dating app(s), 1 being the most important reason and 4 being the least important [3rd]","Please rank all of the reasons that you have/use a dating app(s), 1 being the most important reason and 4 being the least important [4th]","What personal 'red-flags' on someone else's profile would make you swipe left? (Ex. 'listens to drake', 'has too many selfies', 'is not religious')","In your opinion/experience, what is the biggest flaw with dating apps?","Please rank these six attributes of someone else's profile, 1 being the most important reason and 6 being the least important [1st]","Please rank these six attributes of someone else's profile, 1 being the most important reason and 6 being the least important [2nd]","Please rank these six attributes of someone else's profile, 1 being the most important reason and 6 being the least important [3rd]","Please rank these six attributes of someone else's profile, 1 being the most important reason and 6 being the least important [4th]","Please rank these six attributes of someone else's profile, 1 being the most important reason and 6 being the least important [5th]","Please rank these six attributes of someone else's profile, 1 being the most important reason and 6 being the least important [6th]","In your opinion/experience, where have you found the most success in finding a relationship?",,,,,Age range,"Please rank all of the reasons that you have/use a dating app(s), 1 being the most important reason and 4 being the least important [1st]"
10/25/2021 21:24:34,22,22-23,Female,Native Hawaiian or Pacific Islander,Hinge,None,N/A,Not applicable,Not applicable,not applicable,not applicable,Values & traits,Drugs,Drinking,"Religious beliefs, Height, Covid vaccine",Not applicable ,Not applicable,For a relationship,Entertainment,To meet new people,For casual hookups,"hunting pics, too many party pics",Everything is based off appearance ,Sincerity,Fun,Attractiveness,Interests,Intelligence,Ambition,Chance encounters,,,,,22-23,For a relationship
10/25/2021 21:25:09,22,22-23,Female,"Caucasian, Asian",Hinge,Hinge,0,No,No,"From Hawaii, like music ","Hapa, good job, athletic, chill","Sports, Going out, Reading, Music, Food & drink, Traveling, Pets, Values & traits","Smoking, Marijuana, Drugs",Drinking,"Work / Job title, School / Education level, Religious beliefs, Politics, Gender / Pronouns / Sexuality, Age, Height, Location, Ethnicity, If they have children, Family plans, Covid vaccine",7,Less than 1 hour,To meet new people,Entertainment,For a relationship,For casual hookups,Too many gym pics ,Not sure ,Attractiveness,Ambition,Intelligence,Interests,Fun,Sincerity,Mutual Friends,,,,,22-23,To meet new people
10/25/2021 21:25:48,22,22-23,Female,Latino / Hispanic / Latinx / Latina,"Tinder, Bumble, Hinge","Bumble, Hinge",17,Yes,Yes,Not applicable,"Height, why they’re on the app, answers to prompts","Sports, Film & TV, Music, Traveling, Pets",Height,Marijuana,"School / Education level, Age, Height, Location",5,Less than 1 hour,Entertainment,To meet new people,For casual hookups,For a relationship,"Has a picture fishing, anything below 6’0, couples looking for a third person!?, does not have pictures that show teeth","To get a better service you need an expensive subscription, how addictive they are ",Attractiveness,Fun,Interests,Intelligence,Ambition,Sincerity,Dating Apps,,,,,22-23,Entertainment
10/25/2021 21:26:00,23,22-23,Female,Latino / Hispanic / Latinx / Latina,Hinge,Hinge,5,Yes,No,Birthday. Dogs. Mantra. ,Funny/jokes,"Going out, Staying in, Film & TV, Music, Food & drink, Traveling, Pets",Not applicable,"Drinking, Smoking, Marijuana","Work / Job title, School / Education level, Politics, Age, Location, Covid vaccine",5,Less than 1 hour,Entertainment,To meet new people,For casual hookups,For a relationship,Army/military. BBL drake vibes. Creepy pics ,You need a subscription for a better service. ,Fun,Interests,Ambition,Attractiveness,Sincerity,Intelligence,Dating Apps,,,,,22-23,Entertainment
10/25/2021 21:29:02,22,22-23,Male,"Caucasian, Asian",Tinder,None,0,Not applicable,No,N/A,N/A,"Creativity, Sports, Staying in",Smoking,Not applicable,"Work / Job title, School / Education level, Religious beliefs, Age, Location, Covid vaccine",Not applicable ,Not applicable,Entertainment,For casual hookups,For a relationship,To meet new people,Too religious,People are suss,Interests,Attractiveness,Fun,Sincerity,Ambition,Intelligence,Mutual Friends,,,,,22-23,Entertainment
10/25/2021 21:31:28,22,22-23,Female,Latino / Hispanic / Latinx / Latina,"Tinder, Bumble",None,2,Yes,No,not applicable,"A funny joke, if they mention food or knowing how to cook (having some skill)","Creativity, Film & TV, Reading, Food & drink",Drugs,Drinking,"School / Education level, Politics, Gender / Pronouns / Sexuality, Age, Ethnicity",20,Not applicable,For a relationship,Entertainment,To meet new people,For casual hookups,"Listens to drake is absolutely one. Also if only pictures of themselves, none with friends. If they say they are a “moderate” politically. Also, anything showing an army background, guns, or fishing usually made me swipe left immediately. ","I think the biggest flaw is it kind of is hard to get to know someone through the app but it is also scary to put yourself out there and go through with meeting up in person. So, I found I only had one meaningful interaction on the app and everything else was very surface level. ",Sincerity,Interests,Attractiveness,Intelligence,Ambition,Fun,Mutual Friends,,,,,22-23,For a relationship
10/25/2021 21:32:34,23,22-23,Male,Caucasian,Tinder,None,1,Yes,No,I legit don’t remember/non applicable ,Not applicable ,"Staying in, Film & TV, Music",Not applicable,Not applicable,"Religious beliefs, Age, Height, Covid vaccine",Not applicable ,Less than 1 hour,For casual hookups,Entertainment,To meet new people,For a relationship,"Is religious
Taylor swift fan",Anxiety around it,Attractiveness,Sincerity,Interests,Fun,Intelligence,Ambition,Mutual Friends,,,,,22-23,For casual hookups
10/25/2021 21:33:17,22,22-23,Male,Caucasian,"Tinder, Bumble, Hinge",Hinge,10,Yes,No,"Funny, soccer, anime, sex, food","Anime, sports","Creativity, Values & traits",Smoking,"Drinking, Marijuana, Drugs","Work / Job title, School / Education level, Politics, Gender / Pronouns / Sexuality, Age",1,Less than 1 hour,To meet new people,For casual hookups,For a relationship,Entertainment,"Wants kids, conservitive",None,Attractiveness,Interests,Intelligence,Fun,Ambition,Sincerity,Mutual Friends,,,,,22-23,To meet new people
10/25/2021 21:42:33,19,18-19,Female,Asian,Tinder,None,3,Yes,No,"Short, Foodie, Music, Smoke, Sleep ","6ft, Music Taste, Hobby, Foodie, Party",Food & drink,Not applicable,Not applicable,"Work / Job title, Hometown, Gender / Pronouns / Sexuality, Age, Height, Location, Ethnicity, If they have children",50,1 hour,To meet new people,Entertainment,For casual hookups,For a relationship,Excessive girls in photos ,The fact that cat fishing is so prevalent ,Attractiveness,Ambition,Intelligence,Fun,Interests,Sincerity,Mutual Friends,,,,,18-19,To meet new people
10/25/2021 21:55:30,22,22-23,Male,Caucasian,"Tinder, Bumble",Tinder,0,Not applicable,No,"movies,sports,music,environmentalism",Funny bio,"Sports, Staying in, Film & TV, Music",Not applicable,"Marijuana, Drugs","Gender / Pronouns / Sexuality, Age, Location, Covid vaccine",2,Less than 1 hour,Entertainment,For casual hookups,For a relationship,To meet new people,right-wing opinions in bio,impersonality,Attractiveness,Interests,Sincerity,Fun,Ambition,Intelligence,Mutual Friends,,,,,22-23,Entertainment
